Category:,Congress,Bill Type,Bill Number,Vote Position
passage,112,s,3187,Yea
passage,112,hr,4348,Nay
passage,112,hr,8,Yea
passage,112,hr,4310,Yea
passage,112,s,3254,Yea
passage,112,s,3187,Yea
passage,112,s,1925,Nay
passage,112,s,3412,Nay
passage,112,hr,3606,Yea
passage,112,hr,2072,Nay
passage,112,s,2343,Nay
passage,112,hr,5949,Yea
passage,112,hr,6156,Yea
passage,112,hr,1,Nay
passage,112,hr,3630,Nay
passage,112,s,2038,Yea
passage,112,s,3576,Nay
passage,112,s,1789,Nay
passage,112,hr,658,Yea
passage,112,s,1813,Nay
passage,112,sjres,41,Yea
passage,112,s,3240,Nay
passage,112,hjres,117,Nay
passage,112,hr,1249,Nay
passage,112,hconres,36,Yea
passage,112,sres,10,Nay
passage,112,sres,28,Yea
passage,112,s,23,Yea
passage,112,sres,29,Yea
passage,112,sres,8,Nay
passage,112,hr,1473,Nay
passage,112,hconres,35,Yea
passage,112,hr,2055,Nay
passage,112,hr,674,Yea
passage,112,hconres,94,Yea
passage,112,hr,3672,Nay
passage,112,sjres,10,Yea
passage,112,s,1867,Yea
passage,112,sjres,24,Nay
passage,112,hjres,48,Yea
passage,112,hr,2832,Nay
passage,112,hr,3080,Yea
passage,112,s,1619,Nay
passage,112,hr,514,Yea
passage,112,sres,116,Yea
passage,112,hr,2112,Nay
passage,112,hjres,44,Yea
passage,112,sres,159,Yea
passage,112,sres,14,Yea
passage,112,sres,21,Nay
passage,112,hr,2055,Yea
passage,112,s,365,Nay
passage,112,hr,1,Yea
passage,112,hr,1540,Yea
passage,112,hr,2112,Nay
passage,112,s,223,Nay
passage,112,hr,2887,Nay
passage,112,hr,2608,Nay
passage,112,hr,4,Yea
passage,112,hr,3079,Yea
passage,112,s,679,Nay
passage,112,hr,3078,Yea
passage,112,s,990,Yea
passage,113,s,954,Nay
passage,113,sres,16,Nay
passage,113,hr,152,Nay
passage,113,sconres,8,Nay
passage,113,s,815,Nay
passage,113,hr,527,Yea
passage,113,hjres,59,Yea
passage,113,hr,2775,Nay
passage,113,hr,933,Nay
passage,113,s,744,Nay
passage,113,s,47,Nay
passage,113,hr,325,Nay
passage,113,sres,65,Yea
passage,113,sres,15,Nay
passage,113,s,601,Nay
passage,113,hr,1911,Yea
passage,113,s,743,Nay
passage,113,hjres,59,Nay
passage,113,hr,3304,Yea
passage,113,sconres,28,Nay
passage,113,s,540,Nay
passage,113,hr,4302,Nay
passage,113,hr,3230,Nay
passage,113,s,25,Yea
passage,113,hr,3979,Yea
passage,113,s,2280,Yea
passage,113,hr,83,Nay
passage,113,s,1926,Nay
passage,113,hr,2642,Nay
passage,113,hr,5771,Yea
passage,113,hjres,106,Yea
passage,113,s,1917,Yea
passage,113,hr,3230,Yea
passage,113,s,2244,Yea
passage,113,hr,5021,Nay
passage,113,hjres,124,Yea
passage,113,hr,803,Nay
passage,113,s,1086,Yea
passage,113,hr,3547,Nay
passage,113,hr,3370,Nay
passage,113,hr,3979,Nay
passage,113,s,1086,Yea
passage,113,hr,3080,Nay
passage,114,sjres,8,Yea
passage,114,hr,1191,Yea
passage,114,hr,26,Yea
passage,114,hr,203,Yea
passage,114,hr,2,Yea
veto-override,114,s,1,Yea
passage,114,sconres,16,Yea
passage,114,hr,3236,Yea
passage,114,hr,1314,Nay
passage,114,hr,22,Yea
passage,114,hr,719,Yea
passage,114,hr,2146,Yea
passage,114,sconres,11,Yea
passage,114,sjres,23,Yea
passage,114,hr,22,Yea
passage,114,hr,1314,Yea
passage,114,sjres,24,Yea
passage,114,hr,2029,Yea
passage,114,s,1356,Yea
passage,114,hr,644,Nay
passage,114,s,295,Yea
passage,114,hr,3762,Yea
passage,114,hr,1295,Yea
passage,114,sconres,11,Yea
passage,114,hr,240,Yea
passage,114,s,754,Yea
passage,114,sjres,22,Yea
