Category:,Congress,Bill Type,Bill Number,Vote Position
passage,116,hr,840,Not Voting
passage,116,hres,445,Nay
passage,116,hres,509,Nay
passage,116,hres,131,Nay
passage-suspension,116,hr,1759,Yea
passage-suspension,116,hr,676,Nay
passage,116,hres,564,Nay
passage-suspension,116,hr,539,Nay
passage-suspension,116,s,24,Yea
passage-suspension,116,hr,1590,Yea
passage,116,hres,28,Nay
passage,116,hr,2181,Nay
passage,116,hres,172,Nay
passage,116,hr,1815,Nay
passage,116,hres,656,Nay
passage,116,hr,3525,Nay
passage,116,hr,264,Nay
passage,116,hres,252,Nay
passage-suspension,116,hjres,30,Nay
passage-suspension,116,hr,276,Yea
passage,116,hres,519,Nay
passage-suspension,116,hr,328,Yea
passage,116,hr,2740,Nay
passage,116,hjres,31,Nay
passage,116,hr,4378,Nay
passage,116,hres,357,Nay
passage-suspension,116,hr,3722,Yea
passage-suspension,116,hr,226,Nay
passage-suspension,116,hres,183,Nay
passage,116,hr,266,Nay
passage,116,sjres,54,Nay
passage-suspension,116,hr,1593,Nay
passage,116,hres,296,Yea
passage,116,hr,21,Nay
passage-suspension,116,hr,3253,Nay
passage-suspension,116,hr,221,Yea
passage,116,hres,431,Nay
passage,116,hres,462,Nay
passage-suspension,116,hr,3702,Nay
passage-suspension,116,hr,1921,Yea
passage,116,hr,2722,Not Voting
passage-suspension,116,hr,499,Yea
passage-suspension,116,hr,2609,Yea
passage,116,hres,466,Not Voting
passage-suspension,116,hr,3734,Yea
passage,116,sjres,36,Nay
passage-suspension,116,hr,2744,Yea
passage-suspension,116,s,151,Yea
passage,116,sjres,38,Nay
passage-suspension,116,hr,4183,Yea
passage,116,hr,2534,Yea
passage,116,hr,3,Nay
passage-suspension,116,hr,3537,Yea
passage,116,hr,3401,Not Voting
passage,116,hres,430,Nay
passage,116,hres,497,Nay
passage,116,hres,765,Nay
passage,116,hres,739,Nay
passage-suspension,116,hr,1327,Yea
passage,116,sjres,37,Nay
passage,116,hr,312,Nay
passage-suspension,116,hres,393,Yea
passage,116,hr,1158,Nay
passage,116,hres,415,Nay
passage,116,hres,326,Nay
passage-suspension,116,hr,1892,Yea
passage-suspension,116,hr,4761,Yea
passage,116,hr,1994,Yea
passage-suspension,116,hr,748,Yea
passage-suspension,116,hr,2409,Yea
passage-suspension,116,hr,5084,Nay
passage,116,hr,3494,Yea
passage-suspension,116,hr,375,Nay
passage,116,hres,772,Nay
passage,116,hres,377,Nay
passage-suspension,116,s,2710,Yea
passage,116,hres,460,Nay
passage,116,hr,3055,Nay
passage-suspension,116,hr,3050,Yea
passage,116,hres,208,Nay
passage-suspension,116,hr,135,Yea
passage-suspension,116,hr,1654,Yea
